(100, 89, -2296)
(101, -23, -5910)
(108, 2, -3508)
(117, -3625, -2419)
(128, -27, 104)
(298, -596, 399)
(316, -654, 637)
(350, -501, -755)
(352, -625, -3167)
(355, 561, -7634)
(366, 449, -7653)
(371, -698, -3116)
(386, 794, -527)
(389, -577, -3200)
(391, 495, -7442)
(392, 740, -6510)
(396, 431, 1644)
(398, 573, 572)
(402, 866, -6566)
(412, -608, 716)
(418, -555, 505)
(432, -413, -756)
(434, 288, 1584)
(444, 449, 1467)
(452, -2037, -6267)
(452, 802, -6595)
(463, 729, 497)
(465, -1540, -1846)
(466, -556, 374)
(466, 681, -536)
(469, -629, 682)
(475, -384, -729)
(475, -803, -4004)
(480, 642, 434)
(481, -1499, -4014)
(486, 788, 573)
(494, 712, -428)
(495, 723, 2998)
(496, -435, -7610)
(498, -4210, -1636)
(501, 1830, -3145)
(503, 604, 588)
(505, -1525, -3937)
(519, -4241, -1724)
(528, -1615, -1794)
(528, -1990, -6340)
(539, 594, -580)
(540, -740, 1895)
(544, -1874, -5108)
(546, -2054, -6371)
(550, -4344, -1617)
(553, 571, -592)
(567, -292, -7589)
(573, 724, -480)
(582, 758, -495)
(584, 1825, -3049)
(587, 471, -462)
(591, -778, -3888)
(592, -2907, -4040)
(596, 486, -428)
(599, -1526, -4068)
(602, -744, -4109)
(604, 715, 470)
(610, 645, -3888)
(611, -1796, -5144)
(613, -1782, -5107)
(621, -854, 416)
(626, -1661, -1836)
(631, -3004, -3902)
(635, 688, -2956)
(635, -3021, -4110)
(636, -664, 1948)
(642, 1794, -3181)
(643, -539, -6381)
(647, -562, -5469)
(652, -2725, -1830)
(655, 670, -4041)
(655, 757, 3040)
(655, 722, 3005)
(655, -318, -7626)
(663, -4252, -2747)
(673, -402, -6423)
(683, -345, -6432)
(684, 779, -3052)
(685, -758, 404)
(686, -410, 3147)
(689, 691, -3984)
(698, -4087, -2661)
(707, -502, -5492)
(707, 753, 822)
(709, -4183, -2631)
(715, -688, 1879)
(717, -2734, -1721)
(720, 758, 898)
(721, -831, -433)
(721, -593, 3102)
(723, 530, 865)
(734, -774, 473)
(734, -907, -428)
(737, -874, -656)
(755, 491, -1992)
(759, -703, -1751)
(795, 2052, -4279)
(796, 628, -3027)
(796, -729, -1771)
(801, -457, 3169)
(805, -2839, -1820)
(814, -582, -5573)
(817, 389, -1871)
(825, -767, -571)
(831, -2907, -3113)
(838, 1829, -4295)
(847, -773, -432)
(848, -661, -1705)
(868, 467, -1974)
(871, 2057, -4292)
(874, -1476, -3078)
(885, -1674, -3057)
(898, -3101, -3106)
(907, -1675, -3075)
(911, -3054, -3182)
(928, 373, -5081)
(930, 491, -5046)
(939, -738, -439)
(945, 569, -5117)
(1120, -37, 1116)
(1151, -95, 2334)
(1165, -1229, -6021)
(1171, -53, 141)
(1173, -42, -5876)
(1174, 136, -3603)
(1184, 92, -7094)
(1189, -27, -4712)
(1225, 1190, -3525)
(1298, -1106, -5946)
(1304, 135, 129)
(1323, 10, -3465)
(1324, -29, 4)
(1338, 72, -5983)
(1343, 130, -4797)
(1472, 591, 714)
(1526, 438, 740)
(1575, -518, 684)
(1580, -704, -2936)
(1581, 582, 1933)
(1607, 652, 1833)
(1613, 468, 1901)
(1626, -611, 1464)
(1637, -553, -2859)
(1638, -619, -4302)
(1646, 565, 751)
(1650, -602, -4182)
(1651, -506, 1623)
(1651, -417, 633)
(1656, 498, -582)
(1661, 262, 3105)
(1677, 651, -578)
(1681, 645, -556)
(1682, -624, 1485)
(1693, -417, 652)
(1694, 572, -2801)
(1695, 277, 2982)
(1699, -463, -4241)
(1715, -982, 467)
(1744, -585, -2933)
(1758, 663, -2742)
(1759, -880, 595)
(1769, -459, -672)
(1770, 224, 2988)
(1771, 576, -7526)
(1773, 519, -7623)
(1778, 1727, -3043)
(1791, 734, -6625)
(1794, -1988, -5260)
(1809, 372, -7555)
(1811, -910, 571)
(1814, 1715, -3081)
(1827, -2015, -5226)
(1833, -313, -7796)
(1840, 674, -6719)
(1852, -1872, -5227)
(1853, -940, 2855)
(1860, 553, -2696)
(1866, -651, -6523)
(1868, 718, -3834)
(1870, 884, 971)
(1875, 729, -6694)
(1882, -1695, -6805)
(1883, -608, -6516)
(1888, -1563, -6729)
(1894, -584, -702)
(1916, 1676, -3130)
(1927, 790, -3884)
(1945, -843, 2835)
(1950, 1821, -4119)
(1952, 801, 970)
(1952, -358, -7862)
(1953, -688, -6368)
(1954, 624, -3834)
(1964, -839, 2909)
(1970, -449, -646)
(1979, -1710, -6749)
(2012, 764, -5270)
(2013, 564, -5172)
(2023, 1656, -4156)
(2041, -314, -7828)
(2046, -410, -5147)
(2047, 843, 920)
(2077, 1805, -4121)
(2080, 707, -5158)
(2091, -402, -5275)
(2096, -459, -5121)
(2470, 130, -3607)
(2536, 30, -3450)
(2825, 507, -3928)
(2848, 617, -3851)
(2889, 398, -3869)
(2931, -332, -3131)
(2976, -334, -4077)
(2978, 813, -3066)
(3063, -312, -4210)
(3070, -267, -3043)
(3075, -351, -4192)
(3108, -305, -3060)
(3122, 914, -3033)
(3225, 823, -3090)
